drug_name,generic_name,opioid_drug_flag,antibiotic_drug_flag,high_risk_flag,antipsychotic_drug_flag
1ST TIER UNIFINE PENTIPS,"PEN NEEDLE, DIABETIC",N,N,N,N 
1ST TIER UNIFINE PENTIPS PLUS,"PEN NEEDLE, DIABETIC",N,N,N,N 
ABACAVIR,ABACAVIR SULFATE,N,N,N,N 
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,ABACAVIR/LAMIVUDINE/ZIDOVUDINE,N,N,N,N 
ABELCET,AMPHOTERICIN B LIPID COMPLEX,N,N,N,N 
ABILIFY,ARIPIPRAZOLE,N,N,N,Y 
ABILIFY DISCMELT,ARIPIPRAZOLE,N,N,N,Y 
ABILIFY MAINTENA,ARIPIPRAZOLE,N,N,N,Y 
ABRAXANE,PACLITAXEL PROTEIN-BOUND,N,N,N,N 
ABSORICA,ISOTRETINOIN,N,N,N,N 
ABSTRAL,FENTANYL CITRATE,Y,N,N,N 
ACAMPROSATE CALCIUM,ACAMPROSATE CALCIUM,N,N,N,N 
ACANYA,CLINDAMYCIN PHOS/BENZOYL PEROX,N,N,N,N 
ACARBOSE,ACARBOSE,N,N,N,N 
ACCOLATE,ZAFIRLUKAST,N,N,N,N 
ACCUPRIL,QUINAPRIL HCL,N,N,N,N 
ACCURETIC,QUINAPRIL/HYDROCHLOROTHIAZIDE,N,N,N,N 
ACEBUTOLOL HCL,ACEBUTOLOL HCL,N,N,N,N 
ACETAMINOPHEN-CODEINE,ACETAMINOPHEN WITH CODEINE,Y,N,N,N 
ACETASOL HC,ACETIC ACID/HYDROCORTISONE,N,N,N,N 
ACETAZOLAMIDE,ACETAZOLAMIDE,N,N,N,N 
ACETIC ACID,ACETIC ACID,N,N,N,N 
ACETIC ACID-ALUMINUM,ACETIC ACID/ALUMINUM ACETATE,N,N,N,N 
ACETYLCYSTEINE,ACETYLCYSTEINE,N,N,N,N 
ACIPHEX,RABEPRAZOLE SODIUM,N,N,N,N 
ACIPHEX SPRINKLE,RABEPRAZOLE SODIUM,N,N,N,N 
ACITRETIN,ACITRETIN,N,N,N,N 
ACTEMRA,TOCILIZUMAB,N,N,N,N 
ACTHIB,HAEMOPH B POLY CONJ-TET TOX/PF,N,N,N,N 
ACTIGALL,URSODIOL,N,N,N,N 
ACTIMMUNE,"INTERFERON GAMMA-1B,RECOMB.",N,N,N,N 
ACTIQ,FENTANYL CITRATE,Y,N,N,N 
ACTIVE OB,"PNV NO.66/IRON,CARBONYL/FA/DHA",N,N,N,N 
ACTIVELLA,ESTRADIOL/NORETHINDRONE ACET,N,N,Y,N 
ACTONEL,RISEDRONATE SODIUM,N,N,N,N 
ACTOPLUS MET,PIOGLITAZONE HCL/METFORMIN HCL,N,N,N,N 
ACTOPLUS MET XR,PIOGLITAZONE HCL/METFORMIN HCL,N,N,N,N 
ACTOS,PIOGLITAZONE HCL,N,N,N,N 
ACULAR,KETOROLAC TROMETHAMINE,N,N,N,N 
ACULAR LS,KETOROLAC TROMETHAMINE,N,N,N,N 
ACUVAIL,KETOROLAC TROMETHAMINE/PF,N,N,N,N 
ACYCLOVIR,ACYCLOVIR,N,N,N,N 
ACYCLOVIR SODIUM,ACYCLOVIR SODIUM,N,N,N,N 
ACZONE,DAPSONE,N,N,N,N 
ADACEL TDAP,"DIPH,PERTUSS(ACELL),TET VAC/PF",N,N,N,N 
ADAGEN,PEGADEMASE BOVINE,N,N,N,N 
ADALAT CC,NIFEDIPINE,N,N,N,N 
ADAPALENE,ADAPALENE,N,N,N,N 
ADCETRIS,BRENTUXIMAB VEDOTIN,N,N,N,N 
ADCIRCA,TADALAFIL,N,N,N,N 
ADDERALL,DEXTROAMPHETAMINE/AMPHETAMINE,N,N,N,N 
ADDERALL XR,DEXTROAMPHETAMINE/AMPHETAMINE,N,N,N,N 
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,N,N,N,N 
ADEMPAS,RIOCIGUAT,N,N,N,N 
